"|","|__i","|__lc","|__m","|__n","|__sc","|__ri","|__rm","|__rn","|__t","|__time"
"1532149167009","106408660673984226186","","where is 10.27 badlapur cstm local (sent from Badlapur Stn.)","Archana Bhosale","","","","","21 Jul 10:29 AM","1532149167009"
"1532149309638","117161643775617484778","","karjat train is late ? (sent from Ulhas Nagar)","daniel mathew","","","","","21 Jul 10:31 AM","1532149309638"
"1532149394231","112894370020260664055","","10.27 CSMT slow local train arrived on plf no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 10:33 AM","1532149394231"
"1532149407140","113369026276400377628",""," Karjat trains are running on????  ","Akshay Adhav","","","","","21 Jul 10:33 AM","1532149407140"
"1532149408761","112894370020260664055","","10.21 KASARA fast local train arrived on plf no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 10:33 AM","1532149408761"
"1532149461266","101009817959313116573","","fast for Cst?? (sent from Dombivli Stn.)","jayashree jadhav","","","","","21 Jul 10:34 AM","1532149461266"
"1532149536496","112894370020260664055","","10.28 KALYAN slow local train arrived on plf no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 10:35 AM","1532149536496"
"1532149585443","117664415433793409365","","where is Badlapur csmt fast train??? (sent from Ghatkopar Stn.)","Ashwini Kakade","","","","","21 Jul 10:36 AM","1532149585443"
"1532149630974","112990243145702793930","","kashi express train no.  15017 when to start regularly","karma9975","","","","","21 Jul 10:37 AM","1532149630974"
"1532149658047","103567538629003716921","1","10:30 12 car slow local for cst arrived at platform 1 thane. (sent from Thane Stn.)","Mitali Phapunkar","","","","","21 Jul 10:37 AM","1532149658047"
"1532149694968","114066328393736381715","","karjat (sent from Badlapur Stn.)","sanjay parad","","","","","21 Jul 10:38 AM","1532149694968"
"1532149715476","114066328393736381715","","pls stuts (sent from Badlapur Stn.)","sanjay parad","","","","","21 Jul 10:38 AM","1532149715476"
"1532149719652","106712268228083264738","","Delhi.To.sai nagar (sent from Charni Road)","Raju Bhai Kasyap","","","","","21 Jul 10:38 AM","1532149719652"
"1532150091380","114588471698504338676","14","Megablock on 22 July 2018, Sunday\n\n\nWESTERN LINE \nBORIVALI – NAIGAON UP & DOWN FAST LINES FROM 11:00 AM TO 3:00 PM \n\nCENTRAL LINE \nMATUNGA – MULUND DOWN FAST LINE FROM 10:15 AM TO 3:15 PM \n\nHARBOUR LINE \nCSMT – CHUNABHATTI / BANDRA DOWN LINE FROM 11:40 AM TO 4:40 PM & \nCHUNABHATTI / BANDRA - CSMT UP LINE FROM 11:10 AM TO 4:10 PM \n\n-------------------------------------------- \nDetails \n\nWESTERN LINE\n\nBORIVALI – NAIGAON UP & DOWN FAST LINES FROM 11:00 AM TO 3:00 PM \n• During the block, all Up fast trains will run on Up slow line Ex Virar/Vasai Road to Borivali & all Down fast trains will run on Down slow line Ex Borivali to Vasai Road/Virar. \n\nCENTRAL LINE\n\nMATUNGA – MULUND DOWN FAST LINE FROM 10:15 AM TO 3:15 PM \n• Down fast/semi fast services leaving CSMT from 9:38 am to 2:54 pm will be diverted on Down slow line between Matunga & Mulund stations halting at all stations between Sion & Mulund stations & will arrive destination 20 minutes behind schedule. Down Fast trains beyond Thane will be re-diverted on Down fast line from Mulund. \n• All Up fast/semi fast services leaving Thane from 10:46 am to 3:19 pm will halt at Mulund, Bhandup, Vikhroli, Ghatkopar & Kurla stations in addition to their respective scheduled halts & will arrive destination 15 minutes behind schedule. \n• All slow services arriving & leaving CSMT between 11:00 am & 5:00 pm will arrive destination 10 minutes behind schedule \n• All long distance trains leaving CSMT & Dadar during the block period will be diverted on Down slow line between Matunga & Mulund & will run 30 minutes behind schedule.   \n\nHARBOUR LINE\n\nCSMT – CHUNABHATTI / BANDRA DOWN LINE FROM 11:40 AM TO 4:40 PM & \nCHUNABHATTI / BANDRA - CSMT UP LINE FROM 11:10 AM TO 4:10 PM \n• Down Harbour line services to Vashi / Belapur /Panvel leaving CSMT/Vadala Road from 11:34 am to 4:47 pm & Down Harbour line services to Bandra/Andheri/Goregaon leaving CSMT from 9:56 am to 4:43 pm will remain suspended. \n• Up Harbour line services for CSMT leaving Panvel/Belapur/Vashi from 9:53 am to 3:20 pm & Up Harbour line services leaving Bandra/Andheri/Goregaon from 10:45 am to 4:58 pm will remain suspended. \n• However, Special services will run between Panvel & Kurla (Platform No.8) during the block period. \n• Harbour line passengers are permitted to travel via Main Line & Western Railway from 10.00 am to 6.00 pm during block period.","Tester1 Mobond","","","","","21 Jul 10:44 AM","1532150091380"
"1532150161867","116676383527731333478","","diar sir","sachin ikhare","","","","","21 Jul 10:46 AM","1532150161867"
"1532150218483","116676383527731333478","1","Chandrapur to Pune  kal Konse trien hai","sachin ikhare","","","","","21 Jul 10:46 AM","1532150218483"
"1532150559447","112894370020260664055","","10.52 CSMT slow local train halted on plf no 3 (sent from Thane Stn.)","Thane User","","","","","21 Jul 10:52 AM","1532150559447"
"1532150660224","112640202816350791318","","are trains in time? (sent from Thane)","Monali Shete","","","","","21 Jul 10:54 AM","1532150660224"
"1532150837687","104060910963691461025","","10.54 fast csmt on time?? from titwala (sent from Kalyan Stn.)","prasad iyer","","","","","21 Jul 10:57 AM","1532150837687"
"1532150852655","111072948438691194123","","kasara konsa station pass Kar rahi he?pls rply","atul badiani","","","","","21 Jul 10:57 AM","1532150852655"
"1532150894342","115828364546971416638","","10:27 from badalpur Kalyan kadhi pohchl (sent from Kalyan Stn.)","tanmay j","","","","","21 Jul 10:58 AM","1532150894342"
"1532150947931","111072948438691194123","","10.16 ki CST kasara fast local kaha pochi he? pls reply","atul badiani","","","","","21 Jul 10:59 AM","1532150947931"
"1532151075328","116100650609419783642","","what's the status of trains from vitthalwadi stn.? (sent from Kalyan)","shubham khedekar","","","","","21 Jul 11:01 AM","1532151075328"
"1532151084092","109158999152236044196","","mumbai local axp mumbai kub ayegi (sent from Panvel)","Chandra Tiwari","","","","","21 Jul 11:01 AM","1532151084092"
"1532151091114","113547945878893567144","","Kasara-Cst fast train update please? (sent from Kalyan Stn.)","Reshma Raman","","","","","21 Jul 11:01 AM","1532151091114"
"1532151092081","103246285819966336801","1","late by 15 minutes (sent from Ulhas Nagar Stn.)","chetan suralkar","","116100650609419783642","what's the status of trains from vitthalwadi stn.? (sent from Kalyan)","shubham khedekar","21 Jul 11:01 AM","1532151092081"
"1532151142383","100531642410833164273",""," whts the status of trains from kalyan station","Shubham Gupte","","","","","21 Jul 11:02 AM","1532151142383"
"1532151169262","100531642410833164273","","R trains from CSMT running late","Shubham Gupte","","","","","21 Jul 11:02 AM","1532151169262"
"1532151181437","104131890523475034200","","trains from ambernath??? (sent from Ambernath Stn.)","Neha Dongare","","","","","21 Jul 11:03 AM","1532151181437"
"1532151228486","104131890523475034200","","running from time ?? (sent from Ambernath Stn.)","Neha Dongare","","","","","21 Jul 11:03 AM","1532151228486"
"1532151237285","104131890523475034200","","on* (sent from Ambernath Stn.)","Neha Dongare","","","","","21 Jul 11:03 AM","1532151237285"
"1532151416812","113598783502943955254","","status of 9.45 karjat please (sent from Thane Stn.)","mukesh chainani","","","","","21 Jul 11:06 AM","1532151416812"
"1532151573936","103246285819966336801","","what is the status of 11:19 Kasara fast from kalyan? (sent from Ulhas Nagar Stn.)","chetan suralkar","","","","","21 Jul 11:09 AM","1532151573936"
"1532151588504","114651982193379955242","","status of vithalwadi to cst  (sent from Vithalwadi)","Dhiraj Ahuja","","","","","21 Jul 11:09 AM","1532151588504"
"1532151964876","109158999152236044196","1","mumbai mail mumbai come time (sent from Panvel)","Chandra Tiwari","","","","","21 Jul 11:16 AM","1532151964876"
"1532151991011","117011865853200946385","","hi (sent from Thane)","CHARANJEET SINGH","1","","","","21 Jul 11:16 AM","1532151991011"
"1532152747252","102977889676468211314","","how to get to matheran (sent from Vangani Stn.)","Savita Moily","","","","","21 Jul 11:29 AM","1532152747252"
"1532152753945","114902902151013622103","1","11.19 cstm ka status kya hai?? (sent from Thane Stn.)","Vikas Yadav","","","","","21 Jul 11:29 AM","1532152753945"
"1532152761749","115167398141432707044","","r train running on time from kalyan (sent from Vithalwadi)","ABHAY DESHPANDE","","","","","21 Jul 11:29 AM","1532152761749"
"1532153025017","106127038792783369103","","fast train from thane any upd (sent from Thane Stn.)","ishwar bhat","","","","","21 Jul 11:33 AM","1532153025017"
"1532153035713","116116769765969232130","","are the trains late from ambernath to ghatkopar (sent from Mira Road)","Aparna Fernandes","","","","","21 Jul 11:33 AM","1532153035713"
"1532153046180","108805775298120082436","","please update status of fast trains from thane station. (sent from Thane Stn.)","Danish Haspatel","","","","","21 Jul 11:34 AM","1532153046180"
"1532153073131","114846673144646442196","","please send status of local train (sent from Dombivli Stn.)","Manish Jain","","","","","21 Jul 11:34 AM","1532153073131"
"1532153213099","110329060408687383350","","what is the status for 11:30 karjat trainfrom dombivali (sent from Dombivli)","Sumit Patil","","","","","21 Jul 11:36 AM","1532153213099"
"1532153593303","109474961151581270079","","what status of 11.40 time of dombivli now where badlapur train (sent from Diva Jn Stn.)","Yogesh Ipte","","","","","21 Jul 11:43 AM","1532153593303"
"1532153706831","111390830559488000220","","were is sevagram express now","sapna Bunkar","","","","","21 Jul 11:45 AM","1532153706831"
"1532153738656","113330187507253273642","2","are train 5 10 mins late..?  (sent from Shahad Stn.)","Gaurav Lokhande","","","","","21 Jul 11:45 AM","1532153738656"
"1532153839821","111908251537144454478","","Go to Neral station. From there catch the train to Matheran.","Shreyas Dixit","","102977889676468211314","how to get to matheran (sent from Vangani Stn.)","Savita Moily","21 Jul 11:47 AM","1532153839821"
"1532153866261","108668634469942592183","","Ghatkopar platform no 4 train delayed (sent from Ghatkopar Stn.)","Sandesh Naik","","","","","21 Jul 11:47 AM","1532153866261"
"1532153910925","117403092327839312165","1","a🙏🙏🙏🙏🙏\nनमस्कार \nमी सुनील नगरकर राहणार कर्जत जि. रायगड मोबाईल नंबर 9881846868 आपणास नम्र विनंती करीत आहे की,\nकाल दिनांक 7 वाजून 45 मिनिट या वेळेत कर्जत वरून छत्रपती शिवाजी महाराज टर्मिनन्स (CSMT ) ला जाणारी लोकल ने जात असताना बदलापूर येथे मी उतरलो . परंतु कामाच्या गडबडीत माझी कागदपत्रे चेक बुक ","Shreyas Dharmadhikari","","","","","21 Jul 11:48 AM","1532153910925"
"1532153922597","108668634469942592183","","No announcement about the time delayed for 11.40 csmt fast (sent from Ghatkopar Stn.)","Sandesh Naik","","","","","21 Jul 11:48 AM","1532153922597"
"1532154195784","100725665539287107784","","kalyan main ky prblm h y d down train towards karjat are halted before the stations (sent from Kalyan Stn.)","Meghna Majethia","","","","","21 Jul 11:53 AM","1532154195784"
"1532154237318","106407562163773717013","","15 डवा कुठे आहे  (sent from Kalyan Stn.)","anil sule","","","","","21 Jul 11:53 AM","1532154237318"
"1532154251291","105415592344768746786","","its habbit of train (sent from Badlapur)","Navjyot Gaonkar","","","","","21 Jul 11:54 AM","1532154251291"
"1532154390370","104326271272695518516","","kalva ","Rupali Monde","","","","","21 Jul 11:56 AM","1532154390370"
"1532154393114","101483034132043511919","","?","priyesh shah","","","","","21 Jul 11:56 AM","1532154393114"
"1532154395021","115246151374616247668","","11:25 fast badlapur cst left from thane (sent from Thane)","ayush nagda","","","","","21 Jul 11:56 AM","1532154395021"
"1532154415627","109387867092767238656","","I am also stuck near kalyan Station from last 30 minuts. Dont know what happends (sent from Kalyan Stn.)","Tanveer Shaikh","","100725665539287107784","kalyan main ky prblm h y d down train towards karjat are halted before the stations (sent from Kalyan Stn.)","Meghna Majethia","21 Jul 11:56 AM","1532154415627"
"1532154430244","116362734745288955596","","the train is very bad n problem from CR  (sent from Dombivli Stn.)","Siddhesh Patil","","","","","21 Jul 11:57 AM","1532154430244"
"1532154454448","117187484991875063987","","is thane cst train on time","dhiraj mohite","","","","","21 Jul 11:57 AM","1532154454448"
"1532154467938","116362734745288955596","","It is everyday very late n problem from CR  (sent from Dombivli Stn.)","Siddhesh Patil","","","","","21 Jul 11:57 AM","1532154467938"
"1532154500724","116362734745288955596","","before I also waiting 30 mins from CR  (sent from Dombivli Stn.)","Siddhesh Patil","","","","","21 Jul 11:58 AM","1532154500724"
"1532154544806","116362734745288955596","","fast not well from CR  (sent from Dombivli Stn.)","Siddhesh Patil","","","","","21 Jul 11:59 AM","1532154544806"
"1532154567657","100058379223024933225","","is train running on time from ki poli to cst (sent from Khopoli Stn.)","Babaji Ghegade","","","","","21 Jul 11:59 AM","1532154567657"
"1532154632308","116362734745288955596","","11.30am in Dom st from CR  (sent from Dombivli Stn.)","Siddhesh Patil","","","","","21 Jul 12:00 PM","1532154632308"
"1532154717556","112965807560816912218","","from badlapur to cst 11:30 has a last local but it's not good at list 1am must be last local (sent from Rabale)","Manoj Yadav","","","","","21 Jul 12:01 PM","1532154717556"
"1532155002369","110213834290788505188","","trains heading to cst are leaving 20 mins late from Ulhasnagar (sent from Ulhas Nagar Stn.)","Varsha Rohra","","","","","21 Jul 12:06 PM","1532155002369"
"1532155040154","110213834290788505188","","trains heading to cst are leaving 20 mins late from Ulhasnagar (sent from Ulhas Nagar Stn.)","Varsha Rohra","","","","","21 Jul 12:07 PM","1532155040154"
"1532155052364","118271226642949173559","","badlapur  (sent from Thane Stn.)","Rahul Salunke","","","","","21 Jul 12:07 PM","1532155052364"
"1532155063224","110213834290788505188","1","11:41 cst fast just left (sent from Ulhas Nagar Stn.)","Varsha Rohra","","","","","21 Jul 12:07 PM","1532155063224"
"1532155073219","110329060408687383350","","what is the status for karjat train from kalyan (sent from Thakurli)","Sumit Patil","","","","","21 Jul 12:07 PM","1532155073219"
"1532155105963","118271226642949173559","1"," fast badlapur 12.30 status (sent from Thane Stn.)","Rahul Salunke","","","","","21 Jul 12:08 PM","1532155105963"
"1532155141845","109695819498429697570",""," the trains are too slow today (sent from Dadar Stn.)","Sunny Sangle","","","","","21 Jul 12:09 PM","1532155141845"
"1532155216420","110329060408687383350","","12:06 karjat from dombivali does it left from dombivali (sent from Kalyan)","Sumit Patil","","","","","21 Jul 12:10 PM","1532155216420"
"1532155226089","112525134940707980929","","what is the status of khopoli train  (sent from Vikhroli Stn.)","ashok das","","","","","21 Jul 12:10 PM","1532155226089"
"1532155301534","115355779668700143519","","why cst 12 from Badlapur is halted at stn (sent from Badlapur Stn.)","Rohit More","","","","","21 Jul 12:11 PM","1532155301534"
"1532155338297","113463253339289874099","","fast cst 11:56 thane status? (sent from Thane Stn.)","Siddhata Bhagat","","","","","21 Jul 12:12 PM","1532155338297"
"1532155636732","102745679340112219904","1","late 20  25 min (sent from Mulund Stn.)","Umesh Anavkar","","","","","21 Jul 12:17 PM","1532155636732"
"1532155702275","101906092544633827376","","map assistant in s g bhrve marg kurla (E) (sent from Kurla Stn.)","Rajesh Rawool","1","","","","21 Jul 12:18 PM","1532155702275"
"1532155711722","102197395349782473538","","slow trains are 30 late at Mulund station (sent from Mulund Stn.)","tushar kharate","","","","","21 Jul 12:18 PM","1532155711722"
"1532155846636","113284245683780728346","","how much time it takes from Dadar to Lower parel ","Sushil Gaikwad","","","","","21 Jul 12:20 PM","1532155846636"
"1532155944990","102950953022857173850","","update on khopoli train 12:33 from Dadar stn  (sent from Dadar Stn.)","yugandhar savalkar","","","","","21 Jul 12:22 PM","1532155944990"
"1532156148263","105313512214926356617","","Mulund to ambivali station time status  (sent from Mulund)","sushant badge","","","","","21 Jul 12:25 PM","1532156148263"
"1532156203889","112919728463647529243","","11:48 train still not arrived from mulund (sent from Mulund Stn.)","Himanshu Prajapati","","","","","21 Jul 12:26 PM","1532156203889"
